+-------------+---------------------+
|    date     |      avg_price      |
+-------------+---------------------+
| 2019-04-12  | 76.01888111888115   |
| 2019-04-13  | 65.97061068702286   |
| 2019-04-14  | 70.70050314465395   |
| 2019-04-15  | 67.79443686006832   |
| 2019-04-16  | 69.16177482792538   |
| 2019-04-17  | 72.13489714904394   |
| 2019-04-18  | 73.34955266955286   |
| 2019-04-19  | 67.08941545704208   |
| 2019-04-20  | 67.14438790035584   |
| 2019-04-21  | 75.46083373034801   |
| 2019-04-22  | 78.14656901297674   |
| 2019-04-23  | 72.43148974569259   |
| 2019-04-24  | 69.70786712737505   |
| 2019-04-25  | 67.02853260869485   |
| 2019-04-26  | 70.42761170366035   |
| 2019-04-27  | 63.819654605263     |
| 2019-04-28  | 71.20616070079961   |
| 2019-04-29  | 63.885664784393114  |
| 2019-04-30  | 63.96289752225065   |
| 2019-05-01  | 64.07635155316513   |
| 2019-05-02  | 60.65807915057846   |
| 2019-05-03  | 68.23233280352059   |
| 2019-05-04  | 64.59020730346025   |
| 2019-05-05  | 71.50058090789283   |
| 2019-05-06  | 65.27574329731837   |
| 2019-05-07  | 62.60269018628287   |
| 2019-05-08  | 63.61110168645801   |
| 2019-05-09  | 64.28427793669762   |
| 2019-05-10  | 69.04720647394427   |
| 2019-05-11  | 61.53889394142013   |
| 2019-05-12  | 70.83544921677533   |
| 2019-05-13  | 63.092604449728526  |
| 2019-05-14  | 60.95219865319843   |
| 2019-05-15  | 55.59153723802379   |
| 2019-05-16  | 61.753623663466406  |
| 2019-05-17  | 67.41588061607129   |
| 2019-05-18  | 60.57458645749189   |
| 2019-05-19  | 69.812058119658     |
| 2019-05-20  | 61.11756441672258   |
| 2019-05-21  | 58.3131959951019    |
| 2019-05-22  | 59.908495045269184  |
| 2019-05-23  | 61.75651162790695   |
| 2019-05-24  | 67.0365498841533    |
| 2019-05-25  | 60.589015719715846  |
| 2019-05-26  | 67.246649484536     |
| 2019-05-27  | 61.14492226286955   |
| 2019-05-28  | 59.84208770443784   |
| 2019-05-29  | 63.383524436090546  |
| 2019-05-30  | 64.4458451305832    |
| 2019-05-31  | 67.28429277637063   |
| 2019-06-01  | 60.34665325898155   |
| 2019-06-02  | 71.60478594950612   |
| 2019-06-03  | 61.608121093749695  |
| 2019-06-04  | 61.123263646921735  |
| 2019-06-05  | 62.93324719101151   |
| 2019-06-06  | 65.38503474199779   |
| 2019-06-07  | 70.96300045913628   |
| 2019-06-08  | 61.91598662207347   |
| 2019-06-09  | 69.8767438349268    |
| 2019-06-10  | 64.69194743787092   |
| 2019-06-11  | 63.001137219000896  |
| 2019-06-12  | 64.33847419003263   |
| 2019-06-13  | 64.72368596457795   |
| 2019-06-14  | 69.36181477315264   |
| 2019-06-15  | 60.72152189315559   |
| 2019-06-16  | 70.81271394155209   |
| 2019-06-17  | 61.92631746031752   |
| 2019-06-18  | 61.46255412393702   |
| 2019-06-19  | 63.27760393235023   |
| 2019-06-20  | 64.00473485159934   |
| 2019-06-21  | 69.87571498530757   |
| 2019-06-22  | 60.02742043151724   |
| 2019-06-23  | 68.35757495429591   |
| 2019-06-24  | 63.869204668612355  |
| 2019-06-25  | 61.112461287059084  |
| 2019-06-26  | 62.85162557720905   |
| 2019-06-27  | 64.05688064889932   |
| 2019-06-28  | 69.25120730738624   |
| 2019-06-29  | 58.66543902143575   |
| 2019-06-30  | 70.05703690036896   |
| 2019-07-01  | 61.97049952501627   |
| 2019-07-02  | 55.78925776196692   |
| 2019-07-03  | 57.63773674759958   |
| 2019-07-04  | 59.35567033305113   |
| 2019-07-05  | 63.203003233629495  |
| 2019-07-06  | 52.45367553710895   |
| 2019-07-07  | 65.13426043601548   |
| 2019-07-08  | 60.535331494023005  |
| 2019-07-09  | 56.260072347942916  |
| 2019-07-10  | 56.79085104529669   |
| 2019-07-11  | 60.61181053369632   |
| 2019-07-12  | 60.876047909729465  |
| 2019-07-13  | 54.35963722397446   |
| 2019-07-14  | 62.80181475989448   |
| 2019-07-15  | 61.094180478821364  |
| 2019-07-16  | 57.34115978569211   |
| 2019-07-17  | 55.94483054577525   |
| 2019-07-18  | 55.76519077990403   |
| 2019-07-19  | 59.569449726644876  |
| 2019-07-20  | 49.819359546702906  |
+-------------+---------------------+
|    date     |      avg_price      |
+-------------+---------------------+
| 2019-07-21  | 61.012017837234595  |
| 2019-07-22  | 58.57574610245011   |
| 2019-07-23  | 52.878627002288354  |
| 2019-07-24  | 54.89362846894476   |
| 2019-07-25  | 56.6581534361319    |
| 2019-07-26  | 58.903810888252075  |
| 2019-07-27  | 52.37167027612316   |
| 2019-07-28  | 61.72175811870062   |
| 2019-07-29  | 55.49149427816905   |
| 2019-07-30  | 53.15988636363625   |
| 2019-07-31  | 56.152390297684626  |
| 2019-08-01  | 50.349315920397764  |
| 2019-08-02  | 54.146803605113874  |
| 2019-08-03  | 50.53475488882909   |
| 2019-08-04  | 56.397276765881465  |
| 2019-08-05  | 52.7221583035896    |
| 2019-08-06  | 48.71830433825113   |
| 2019-08-07  | 46.99141454707671   |
| 2019-08-08  | 48.61549259346311   |
| 2019-08-09  | 53.45292593497899   |
| 2019-08-10  | 52.68182058920868   |
| 2019-08-11  | 55.03824895771265   |
| 2019-08-12  | 51.746418824839544  |
| 2019-08-13  | 46.95707192296096   |
| 2019-08-14  | 52.93499205087431   |
| 2019-08-15  | 54.571329052969446  |
| 2019-08-16  | 57.337151607963065  |
| 2019-08-17  | 58.23825915714853   |
| 2019-08-18  | 66.52266732607964   |
| 2019-08-19  | 60.33376166114955   |
