+--------------+--------------+
| ticket_date  | daily_count  |
| 2019-11-01   | 81           |
| 2019-11-02   | 66           |
| 2019-11-03   | 78           |
| 2019-11-04   | 96           |
+--------------+--------------+
| ticket_date  | daily_count  |
+--------------+--------------+
| 2019-11-05   | 81           |
| 2019-11-06   | 98           |
| 2019-11-07   | 242          |
| 2019-11-08   | 399          |
| 2019-11-09   | 323          |
| 2019-11-10   | 624          |
| 2019-11-11   | 848          |
| 2019-11-12   | 937          |
| 2019-11-13   | 939          |
| 2019-11-14   | 1029         |
| 2019-11-15   | 874          |
| 2019-11-16   | 619          |
| 2019-11-17   | 815          |
| 2019-11-18   | 960          |
| 2019-11-19   | 1003         |
| 2019-11-20   | 982          |
| 2019-11-21   | 953          |
| 2019-11-22   | 918          |
| 2019-11-23   | 615          |
| 2019-11-24   | 870          |
| 2019-11-25   | 1000         |
| 2019-11-26   | 982          |
| 2019-11-27   | 918          |
| 2019-11-28   | 979          |
| 2019-11-29   | 927          |
| 2019-11-30   | 628          |
| 2019-12-01   | 881          |
| 2019-12-02   | 959          |
| 2019-12-03   | 1047         |
| 2019-12-04   | 998          |
| 2019-12-05   | 1018         |
| 2019-12-06   | 688          |
| 2019-12-07   | 572          |
| 2019-12-08   | 742          |
| 2019-12-09   | 796          |
| 2019-12-10   | 911          |
| 2019-12-11   | 966          |
| 2019-12-12   | 937          |
| 2019-12-13   | 918          |
| 2019-12-14   | 564          |
| 2019-12-15   | 714          |
| 2019-12-16   | 102          |
| 2019-12-17   | 74           |
| 2019-12-18   | 83           |
| 2019-12-19   | 76           |
| 2019-12-20   | 64           |
| 2019-12-21   | 51           |
| 2019-12-22   | 71           |
| 2019-12-23   | 63           |
| 2019-12-24   | 32           |
| 2019-12-25   | 44           |
| 2019-12-26   | 76           |
| 2019-12-27   | 85           |
| 2019-12-28   | 56           |
| 2019-12-29   | 47           |
| 2019-12-30   | 63           |
| 2019-12-31   | 42           |
| 2020-01-01   | 37           |
| 2020-01-02   | 73           |
| 2020-01-03   | 70           |
| 2020-01-04   | 55           |
| 2020-01-05   | 33           |
| 2020-01-06   | 46           |
| 2020-01-07   | 35           |
| 2020-01-08   | 20           |
| 2020-01-09   | 14           |
| 2020-01-10   | 2            |
| 2020-01-30   | 129          |
| 2020-01-31   | 294          |
| 2020-02-01   | 320          |
| 2020-02-02   | 537          |
| 2020-02-03   | 816          |
| 2020-02-04   | 964          |
| 2020-02-05   | 1126         |
| 2020-02-06   | 1341         |
| 2020-02-07   | 1439         |
| 2020-02-08   | 1099         |
| 2020-02-09   | 1646         |
| 2020-02-10   | 2224         |
| 2020-02-11   | 2476         |
| 2020-02-12   | 2856         |
| 2020-02-13   | 3185         |
| 2020-02-14   | 3468         |
| 2020-02-15   | 2611         |
| 2020-02-16   | 3619         |
| 2020-02-17   | 4428         |
| 2020-02-18   | 4770         |
| 2020-02-19   | 5168         |
| 2020-02-20   | 5539         |
| 2020-02-21   | 5696         |
| 2020-02-22   | 4427         |
| 2020-02-23   | 6393         |
| 2020-02-24   | 7346         |
| 2020-02-25   | 7264         |
| 2020-02-26   | 7709         |
| 2020-02-27   | 8167         |
| 2020-02-28   | 8166         |
| 2020-02-29   | 6222         |
| 2020-03-01   | 7962         |
| 2020-03-02   | 9319         |
+--------------+--------------+
| ticket_date  | daily_count  |
+--------------+--------------+
| 2020-03-03   | 9380         |
| 2020-03-04   | 9744         |
| 2020-03-05   | 10448        |
| 2020-03-06   | 10487        |
| 2020-03-07   | 7559         |
| 2020-03-08   | 9608         |
| 2020-03-09   | 11437        |
| 2020-03-10   | 11574        |
| 2020-03-11   | 12126        |
| 2020-03-12   | 12738        |
| 2020-03-13   | 13780        |
| 2020-03-14   | 9952         |
| 2020-03-15   | 12575        |
| 2020-03-16   | 14885        |
| 2020-03-17   | 14787        |
| 2020-03-18   | 14715        |
| 2020-03-19   | 14720        |
| 2020-03-20   | 15221        |
| 2020-03-21   | 10844        |
| 2020-03-22   | 13423        |
| 2020-03-23   | 15901        |
| 2020-03-24   | 15968        |
| 2020-03-25   | 16201        |
| 2020-03-26   | 16505        |
| 2020-03-27   | 16940        |
| 2020-03-28   | 12121        |
| 2020-03-29   | 15724        |
| 2020-03-30   | 18593        |
| 2020-03-31   | 18306        |
| 2020-04-01   | 18285        |
| 2020-04-02   | 18874        |
| 2020-04-03   | 18581        |
| 2020-04-04   | 13089        |
| 2020-04-05   | 15435        |
| 2020-04-06   | 17724        |
| 2020-04-07   | 17339        |
| 2020-04-08   | 18263        |
| 2020-04-09   | 15413        |
| 2020-04-10   | 13723        |
| 2020-04-11   | 12575        |
| 2020-04-12   | 18102        |
| 2020-04-13   | 20746        |
| 2020-04-14   | 20622        |
| 2020-04-15   | 20469        |
| 2020-04-16   | 20563        |
| 2020-04-17   | 20211        |
| 2020-04-18   | 13773        |
| 2020-04-19   | 15780        |
| 2020-04-20   | 17796        |
| 2020-04-21   | 17310        |
| 2020-04-22   | 16801        |
| 2020-04-23   | 16527        |
| 2020-04-24   | 16669        |
| 2020-04-25   | 11902        |
| 2020-04-26   | 13908        |
| 2020-04-27   | 16266        |
| 2020-04-28   | 15652        |
| 2020-04-29   | 14841        |
| 2020-04-30   | 15387        |
| 2020-05-01   | 12587        |
| 2020-05-02   | 10785        |
| 2020-05-03   | 12904        |
| 2020-05-04   | 14755        |
| 2020-05-05   | 14627        |
| 2020-05-06   | 14830        |
| 2020-05-07   | 14877        |
| 2020-05-08   | 14903        |
| 2020-05-09   | 10847        |
| 2020-05-10   | 12451        |
| 2020-05-11   | 14653        |
